site,date,name,gun,sculp,other
Rolling Hills,7/15/11,24,1,,
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,,18,17,
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,32a,,1,
Rolling Hills,7/22/11,5,1,,
Rolling Hills,7/22/11,15,1,,
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,4,1,,
Rolling Hills,7/22/11,8,1,,
Rolling Hills,7/22/11,32a,1,,
Rolling Hills,7/22/11,24,,,1.00
Rolling Hills,7/22/11,8,1,,
Rolling Hills,7/22/11,"1,2,or3",1,,
Rolling Hills,7/22/11,5,1,,
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,5,1,,
Rolling Hills,7/22/11,4,1,,
Rolling Hills,7/22/11,4,1,,
Rolling Hills,7/22/11,14b,,1,
Rolling Hills,7/22/11,32a,1,,
Rolling Hills,7/22/11,5,1,,
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,14b,,1,
Rolling Hills,7/22/11,32a,1,,
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,32a,1,,
Rolling Hills,7/22/11,32a,1,,
Rolling Hills,7/22/11,15,,1,
Rolling Hills,7/22/11,15,1,,
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,"1,2,or3",1,,
Rolling Hills,7/22/11,"1,2,or3",1,,
Rolling Hills,7/22/11,32a,1,,
Rolling Hills,7/22/11,5,1,,
Rolling Hills,7/22/11,4,1,,
Rolling Hills,7/22/11,4,1,,
Rolling Hills,7/22/11,15,,1,
Rolling Hills,7/22/11,"1,2,or3",1,,
Rolling Hills,7/22/11,15,1, ,
Rolling Hills,7/22/11,15,,1,
Rolling Hills,7/22/11,15,,1,
Rolling Hills,7/22/11,"1,2,or3",1,,
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,15,1,,
Rolling Hills,7/22/11,24,1,,
Rolling Hills,7/22/11,32a,1,,
Rolling Hills,7/22/11,4,1,,
Rolling Hills,7/22/11,32a,1,,
Rolling Hills,7/22/11,"1,2,or3",1,,
Rolling Hills,7/22/11,8,1,,
Rolling Hills,7/22/11,"1,2,or3",1,,
Rolling Hills,7/22/11,32a,,,1.00
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,24,,,1.00
Rolling Hills,7/22/11,3,1,,
Rolling Hills,7/22/11,32a,1,,
Rolling Hills,7/22/11,24,1,,
Rolling Hills,7/22/11,8,1,,
Rolling Hills,7/22/11,8,1,,
Rolling Hills,7/22/11,32a,1,,
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,15,1,,
Rolling Hills,7/22/11,24,1,,
Rolling Hills,7/22/11,14b,,1,
Rolling Hills,7/22/11,"1,2,or3",1,,
Rolling Hills,7/22/11,3,1,,
Rolling Hills,7/22/11,5,1,,
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,32a,1,,
Rolling Hills,7/22/11,4,1,,
Rolling Hills,7/22/11,4,1,,
Rolling Hills,7/22/11,32a,1,,
Rolling Hills,7/22/11,8,1,,
Rolling Hills,7/22/11,14b,1,,
Rolling Hills,7/22/11,,,,
Rolling Hills,7/22/11,4,,1,
Rolling Hills,7/22/11,,,,
Rolling Hills, 7/29/11,,,,
Rolling Hills, 7/29/11,,51,9,3.00
Rolling Hills, 7/29/11,,,,
Rolling Hills, 7/29/11,32a,1,,
Rolling Hills, 7/29/11,1 or 2,1,,
Rolling Hills, 7/29/11,14b,,1,
Rolling Hills, 7/29/11,32a,1,,
Rolling Hills, 7/29/11,,,,
Rolling Hills, 7/29/11,32a,,1,
Rolling Hills, 7/29/11,15,,1,
Rolling Hills, 7/29/11,14b,,1,
Rolling Hills, 7/29/11,,,,
Rolling Hills, 7/29/11,32a,1,,
Rolling Hills, 7/29/11,,,,
Rolling Hills, 7/29/11,14b,1,,
Rolling Hills, 7/29/11,3,1,,
Rolling Hills, 7/29/11,,,,
Rolling Hills, 7/29/11,15,1,,
Rolling Hills, 7/29/11,,,,
Rolling Hills, 7/29/11,,,,
Rolling Hills, 7/29/11,32a,1,,
Rolling Hills, 7/29/11,14b,,1,
Rolling Hills, 7/29/11,,,,
Rolling Hills, 7/29/11,,,,
Rolling Hills, 7/29/11,14b,,1,
Rolling Hills, 7/29/11,32a,,1,
Rolling Hills, 7/29/11,,,,
Rolling Hills,8/5/11,,,,
Rolling Hills,8/5/11,,8,7,
Rolling Hills,8/5/11,,,,
Rolling Hills,8/5/11,14,,1,
Rolling Hills,8/5/11,,,,
Rolling Hills,8/5/11,3,1,,
Rolling Hills,8/5/11,3,1,,
Rolling Hills,8/5/11,,,,
Rolling Hills,8/5/11,3,1,,
Rolling Hills,8/5/11,,,,
Rolling Hills,8/5/11,3,1,,
Rolling Hills,8/5/11,14,1,,
Rolling Hills,8/5/11,14b,,1,
Rolling Hills,8/5/11,14b,,1,
Rolling Hills,8/5/11,14b,1,,
Rolling Hills,8/5/11,,,,
Rolling Hills,8/5/11,,,,
Rolling Hills,8/5/11,14,,1,
Rolling Hills,8/5/11,,,,
Rolling Hills,8/5/11,1 or 2,1,,
Rolling Hills,8/5/11,14b,,1,
Rolling Hills,8/5/11,"1,2,or3",1,,
Rolling Hills,8/5/11,,,,
Rolling Hills,8/5/11,14,,,1.00
Rolling Hills,8/5/11,"1,2,or3",1,,
Rolling Hills,8/5/11,"1,2,or3",,1,
Rolling Hills,8/5/11,,,,
Rolling Hills,8/5/11,14,,,1.00
Rolling Hills,8/5/11,"1,2,or3",1,,
Rolling Hills,8/5/11,,,,
Rolling Hills,8/5/11,,,,
Rolling Hills,8/5/11,14,,1,
Rolling Hills,8/12/11,,,,
Rolling Hills,8/12/11,,10,7,
Rolling Hills,8/12/11,,,,
Rolling Hills,8/12/11,,,,
Rolling Hills,8/12/11,,,,
Rolling Hills,8/12/11,3,,1,
Rolling Hills,8/12/11,14b,1,,
Rolling Hills,8/12/11,14,,1,
Rolling Hills,8/12/11,,,,
Rolling Hills,8/12/11,14b,,1,
Rolling Hills,8/12/11,,,,
Rolling Hills,8/12/11,14,,1,
Rolling Hills,8/12/11,14b,,1,
Rolling Hills,8/12/11,14b,,1,
Rolling Hills,8/12/11,,,,
Rolling Hills,8/12/11,,,,
Rolling Hills,8/12/11,3,1,,
Rolling Hills,8/12/11,3,1,,
Rolling Hills,8/12/11,,,,
Rolling Hills,8/12/11,14b,1,,
Rolling Hills,8/12/11,,,,
Rolling Hills,8/12/11,3,,,1.00
Rolling Hills,8/12/11,,,,
Rolling Hills,8/12/11,14,,1,
Rolling Hills,8/12/11,14b,1,,
Rolling Hills,8/12/11,,,,
Rolling Hills,8/12/11,14b,1,,
Rolling Hills,8/19/11,,,,
Rolling Hills,8/19/11,,6,7,
Rolling Hills,8/19/11,,,,
Rolling Hills,8/19/11,,,,
Rolling Hills,8/19/11,,,,
Rolling Hills,8/19/11,14b,1,,
Rolling Hills,8/19/11,,,,
Rolling Hills,8/19/11,,,,
Rolling Hills,8/19/11,,,,
Rolling Hills,8/19/11,,,,
Rolling Hills,8/19/11,,,,
Rolling Hills,8/19/11,,,,
Rolling Hills,8/19/11,14b,1,,
Rolling Hills,8/19/11,14b,,1,
Rolling Hills,6/22/10,,,,0.00
Rolling Hills,6/22/10,,,,0.00
Rolling Hills,6/22/10,8,,1,0.00
Rolling Hills,6/22/10,14,,,0.00
Rolling Hills,6/22/10, , ,,0.00
Rolling Hills,6/22/10,,,,0.00
Rolling Hills,6/22/10,15,,,0.00
Rolling Hills,6/22/10, ,, ,0.00
Rolling Hills,6/22/10,8,,1,0.00
Rolling Hills,6/22/10,8,,1,0.00
Rolling Hills,6/22/10,,,,0.00
Rolling Hills,6/22/10,,,,0.00
Rolling Hills,6/22/10,31,,,1.00
Rolling Hills,6/22/10, , ,,0.00
Rolling Hills,6/22/10, , ,,0.00
Rolling Hills,6/22/10, , ,,0.00
Rolling Hills,6/22/10,15, ,1,0.00
Rolling Hills,6/22/10, ,, ,0.00
Rolling Hills,6/22/10,14, ,,1.00
Rolling Hills,6/22/10, ,,,0.00
Rolling Hills,6/22/10, ,,,0.00
Rolling Hills,6/22/10, ,,,0.00
Rolling Hills,6/22/10, ,,,0.00
Rolling Hills,6/22/10,8,,1,0.00
Rolling Hills,6/22/10,9,, ,1.00
Rolling Hills,6/22/10, ,,,0.00
Rolling Hills,6/22/10, ,,,0.00
Rolling Hills,6/22/10,15,1,,0.00
Rolling Hills,6/22/10,14,1,,0.00
Rolling Hills,6/22/10,,,,0.00
Rolling Hills,6/22/10,, ,,0.00
Rolling Hills,6/22/10,36,1,,0.00
Rolling Hills,6/22/10, ,, ,0.00
Rolling Hills,6/22/10, ,,,0.00
Rolling Hills,6/22/10, , ,,0.00
Rolling Hills,6/22/10,4, ,1,0.00
Rolling Hills,6/22/10, ,,,0.00
Rolling Hills,6/22/10,24,1,,0.00
Rolling Hills,6/22/10, ,,,0.00
Rolling Hills,6/22/10,14, , ,1.00
Rolling Hills,6/22/10,31,1,,0.00
Rolling Hills,6/22/10, , ,,0.00
Rolling Hills,6/22/10, ,,,0.00
Rolling Hills,6/22/10, ,, ,0.00
Rolling Hills,6/29/10, ,,,0.00
Rolling Hills,6/29/10, ,,,0.00
Rolling Hills,6/29/10,5, ,,1.00
Rolling Hills,6/29/10, , ,,0.00
Rolling Hills,6/29/10,9,1,,0.00
Rolling Hills,6/29/10,8,1, ,0.00
Rolling Hills,6/29/10,9,1,,0.00
Rolling Hills,6/29/10, , ,,0.00
Rolling Hills,6/29/10,15,1,,0.00
Rolling Hills,6/29/10,4, ,1,0.00
Rolling Hills,6/29/10,8, ,1,0.00
Rolling Hills,6/29/10,15, ,1,0.00
Rolling Hills,6/29/10,9,1,,0.00
Rolling Hills,6/29/10, , ,,0.00
Rolling Hills,6/29/10,8, ,1,0.00
Rolling Hills,6/29/10,4, ,1,0.00
Rolling Hills,6/29/10, , ,,0.00
Rolling Hills,6/29/10,4, ,1,0.00
Rolling Hills,6/29/10, , ,,0.00
Rolling Hills,6/29/10, , ,,0.00
Rolling Hills,6/29/10, , ,,0.00
Rolling Hills,6/29/10, , , ,0.00
Rolling Hills,6/29/10,32,1,,0.00
Rolling Hills,6/29/10, , ,,0.00
Rolling Hills,6/29/10,14, ,1,0.00
Rolling Hills,6/29/10,32, ,1,0.00
Rolling Hills,6/29/10, , ,,0.00
Rolling Hills,6/29/10, , ,,0.00
Rolling Hills,6/29/10, , ,,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10,4,1,,0.00
Rolling Hills,7/6/10,7, ,1,0.00
Rolling Hills,7/6/10,4, ,1,0.00
Rolling Hills,7/6/10,4,2,,0.00
Rolling Hills,7/6/10,9,,1,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10,7, ,1,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10,9, ,1,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10,14,,,1.00
Rolling Hills,7/6/10, ,,,0.00
Rolling Hills,7/6/10,14,,,1.00
Rolling Hills,7/6/10,32,,1,0.00
Rolling Hills,7/6/10,15, ,1,0.00
Rolling Hills,7/6/10,7,,1,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10,9,1,,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10,9,1,,0.00
Rolling Hills,7/6/10,15,, ,1.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10,9,1,,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10,31,1, ,0.00
Rolling Hills,7/6/10,15,1,,0.00
Rolling Hills,7/6/10,24, ,1,0.00
Rolling Hills,7/6/10, ,,,0.00
Rolling Hills,7/6/10,14,1, ,0.00
Rolling Hills,7/6/10,14, ,,1.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10,15, ,1,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10,15,1,,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10, , ,,0.00
Rolling Hills,7/6/10, ,,,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10,36,1,,0.00
Rolling Hills,7/13/10,15, ,1,0.00
Rolling Hills,7/13/10,14,,1,0.00
Rolling Hills,7/13/10,8,1,,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10,15,1,,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10,9,1,,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10,14,1,,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10,25,1,,0.00
Rolling Hills,7/13/10,"1,2,or3", ,1,0.00
Rolling Hills,7/13/10,"1,2 or3", ,1,0.00
Rolling Hills,7/13/10,15, ,1,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10,9, , ,1.00
Rolling Hills,7/13/10,15,1,,0.00
Rolling Hills,7/13/10,25,1,,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10,9,1,,0.00
Rolling Hills,7/13/10,25, ,1,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10,32, ,1,0.00
Rolling Hills,7/13/10,9,1,,0.00
Rolling Hills,7/13/10,15, ,1,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10,25,1,,0.00
Rolling Hills,7/13/10, , ,,0.00
Rolling Hills,7/13/10,  , ,,0.00
Rolling Hills,7/20/10,, ,,0.00
Rolling Hills,7/20/10, , , ,0.00
Rolling Hills,7/20/10, , ,,0.00
Rolling Hills,7/20/10, , ,,0.00
Rolling Hills,7/20/10,1 or2, ,1,0.00
Rolling Hills,7/20/10, , , ,0.00
Rolling Hills,7/20/10,15, ,1,0.00
Rolling Hills,7/20/10, , ,,0.00
Rolling Hills,7/20/10,24, ,1,0.00
Rolling Hills,7/20/10, ,,,0.00
Rolling Hills,7/20/10,3,,1,0.00
Rolling Hills,7/20/10,15, ,1,0.00
Rolling Hills,7/20/10,9,1, ,0.00
Rolling Hills,7/20/10, ,,,0.00
Rolling Hills,7/20/10,24, ,1,0.00
Rolling Hills,7/20/10,20,1,,0.00
Rolling Hills,7/20/10,24,1,,0.00
Rolling Hills,7/20/10,9, ,1,0.00
Rolling Hills,7/20/10, , ,,0.00
Rolling Hills,7/20/10,32,1,,0.00
Rolling Hills,7/20/10, , ,,0.00
Rolling Hills,7/20/10, , ,,0.00
Rolling Hills,7/20/10,15, ,1,0.00
Rolling Hills,7/20/10,31,1,,0.00
Rolling Hills,7/20/10,24, ,,0.00
Rolling Hills,7/20/10,32, ,,0.00
Rolling Hills,7/20/10, , ,,0.00
Rolling Hills,7/20/10,15,1,,0.00
Rolling Hills,7/20/10, ,,,0.00
Rolling Hills,7/20/10,9, ,1,0.00
Rolling Hills,7/20/10,32,, ,1.00
Rolling Hills,7/20/10,31,,1,0.00
Rolling Hills,7/20/10, , ,,0.00
Rolling Hills,7/20/10, ,, ,0.00
Rolling Hills,7/20/10,9,1,,0.00
Rolling Hills,7/20/10,32,1,,0.00
Rolling Hills,7/20/10, ,,,0.00
Rolling Hills,7/20/10,,,,0.00
Rolling Hills,7/20/10,15,,,1.00
Rolling Hills,7/20/10,32, ,1,0.00
Rolling Hills,7/20/10, , ,,0.00
Rolling Hills,7/20/10,15,,1,0.00
Rolling Hills,7/20/10, , ,,0.00
Rolling Hills,7/20/10, ,,,0.00
Rolling Hills,7/27/10, , ,,0.00
Rolling Hills,7/27/10,,,,0.00
Rolling Hills,7/27/10,, ,,0.00
Rolling Hills,7/27/10, , ,,0.00
Rolling Hills,7/27/10, ,,,0.00
Rolling Hills,7/27/10, , ,,0.00
Rolling Hills,7/27/10,9,1,,0.00
Rolling Hills,7/27/10,9,1,,0.00
Rolling Hills,7/27/10,15,,1,0.00
Rolling Hills,7/27/10,  ,,,0.00
Rolling Hills,7/27/10,15,1, ,0.00
Rolling Hills,7/27/10,35,,1,0.00
Rolling Hills,7/27/10,15,1,,0.00
Rolling Hills,7/27/10,1 or 2,1,,0.00
Rolling Hills,7/27/10,9,1,,0.00
Rolling Hills,7/27/10,9,1,,0.00
Rolling Hills,7/27/10,35,1,,0.00
Rolling Hills,7/27/10,,,,0.00
Rolling Hills,7/27/10,,,,0.00
Rolling Hills,7/27/10,35,1,,0.00
Rolling Hills,7/27/10,,,,0.00
Rolling Hills,7/27/10,9,1,,0.00
Rolling Hills,7/27/10,35,,1,0.00
Rolling Hills,7/27/10,,,,0.00
Rolling Hills,7/27/10,,,,0.00
Rolling Hills,7/27/10,,,,0.00
Rolling Hills,7/27/10,9,1,,0.00
Rolling Hills,7/27/10,,,,0.00
Rolling Hills,7/27/10,,,,0.00
Rolling Hills,7/27/10,,,,0.00
Rolling Hills,7/27/10,15,1,,0.00
Rolling Hills,7/27/10,,,,0.00
Rolling Hills,7/27/10,,,,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,1 or 2,,1,0.00
Rolling Hills,8/3/10,3,,1,0.00
Rolling Hills,8/3/10,35,1,,0.00
Rolling Hills,8/3/10,35,,1,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,3,1,,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,1 or 2,,1,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,3,,1,0.00
Rolling Hills,8/3/10,35,1,,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,3,1,,0.00
Rolling Hills,8/3/10,35,,1,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,"1,2,or3",1,,0.00
Rolling Hills,8/3/10,1 or 2,1,,0.00
Rolling Hills,8/3/10,35,,1,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,1 or 2,,,1.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,1 or 2,,1,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,1 or 2,1,,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/3/10,,,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,35,1,,0.00
Rolling Hills,8/10/10,35,,1,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,35,,,1.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,35,,1,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,35,,1,0.00
Rolling Hills,8/10/10,35,,1,0.00
Rolling Hills,8/10/10,1 or 2,1,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,1 or 2,1,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,35,1,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/10/10,,,,0.00
Rolling Hills,8/17/10,,,,0.00
Rolling Hills,8/17/10,,,,0.00
Rolling Hills,8/17/10,,,,0.00
Rolling Hills,8/17/10,35,,1,0.00
Rolling Hills,8/17/10,,,,0.00
Rolling Hills,8/17/10,,,,0.00
Rolling Hills,8/17/10,,,,0.00
Rolling Hills,8/17/10,35,,1,0.00