site,ymd,start_time,pg_count,count_type,internOnly
Swantown,7/25/17,810,26,pg,
Lagoon Point South,7/27/17,7:15,44,pg,
Forbes Point,7/27/17,708,24,pg,
Limpet Lane,7/28/17,735,31,pg,
Limpet Lane,7/14/17,715,29,pg,
Limpet Lane,7/21/17,735,26,pg,
Shore Meadows,7/26/17,7:20,53,pg,
Clinton Ferry Dock,7/22/17,7:55,7,pg,
Mutiny Sands,7/27/17,7:30,44,pg,
Hastie Lake South,7/25/17,7:35,22,pg,
Keystone,7/30/17,7:56,44,pg,
Clinton Ferry Dock,7/29/17,7:50,5,pg,
Langley Marina,7/31/17,720,6,pg,
Cliffside,7/18/17,820,19,pg,
Cliffside,7/25/17,8:20,22,pg,
Cliffside,6/20/17,8:25,9,pg,
Fort Casey North,7/29/17,8:25,63,pg,
Lagoon North #0,7/27/17,6:55,49,pg,
Possession Point,7/30/17,7:52,19,pg,
Coupeville Wharf,7/30/17,7:56,6,pg,
Pratts Bluff,7/25/17,7:30,19,pg,
Hastie Lake South,8/1/17,7:30,20,pg,
Rolling Hills #1,8/1/17,8:09,29,pg,
Pratts Bluff,7/31/17,7:15,33,pg,
Harrington South,8/1/17,6:20,25,pg,
Lake Hancock North,8/1/17,7:15,65,pg,
Rolling Hills #1 -- INTERN,7/26/17,6:00,30,pg,on
Rolling Hills #1 -- INTERN,7/28/17,6:00,29,pg,on
Rolling Hills #1 -- INTERN,8/1/17,6:00,29,pg,on
Cliffside -- INTERN,7/25/17,6:00,39,pg,on
Cliffside -- INTERN,7/27/17,6:00,35,pg,on
Cliffside -- INTERN,7/31/17,6:00,31,pg,on
Lagoon North #0,8/3/17,7:15,15,pg,
Lagoon Point South,8/3/17,7:15,30,pg,
Mutiny Sands,8/3/17,7:30,18,pg,
Swantown,8/2/17,715,21,pg,
Limpet Lane,8/4/17,735,24,pg,
Lagoon North #1,8/4/17,8:00,49,pg,
Keystone,8/5/17,8:38,34,pg,
Forbes Point,8/3/17,713,3,pg,
Coupeville Wharf,8/6/17,7:40,6,pg,
Shore Meadows,8/3/17,7:25,35,pg,
Rolling Hills #3,7/22/17,7:50,15,pg,
Rolling Hills #3,7/29/17,7:40,8,pg,
Langley Marina,7/11/17,7:02,3,pg,
Harrington North,7/13/17,735,25,pg,
Harrington North,7/26/17,730,20,pg,
Harrington North,8/2/17,745,12,pg,
Swantown,8/7/17,810,4,pg,
Langley Marina,8/8/17,727,7,pg,
Harrington South,8/8/17,6:19,25,pg,
Clinton Ferry Dock,8/5/17,7:55,9,pg,
Malmo Bluff,8/1/17,7:15,39,pg,
Malmo Bluff,8/8/17,7:10,53,pg,
Cliffside -- INTERN,8/2/17,6:00,24,pg,on
Cliffside -- INTERN,8/4/17,6:00,28,pg,on
Cliffside -- INTERN,8/8/17,6:00,27,pg,on
Rolling Hills #1 -- INTERN,8/3/17,6:00,38,pg,on
Rolling Hills #1 -- INTERN,8/7/17,6:00,41,pg,on
Rolling Hills #1 -- INTERN,8/9/17,6:00,23,pg,on
Rolling Hills #1 -- INTERN,8/1/17,6:00,29,pg,on
Shore Meadows,8/9/17,7:25,63,pg,
Hastie Lake South,8/8/17,7:25,6,pg,
Lagoon Point South,8/10/17,7:15,43,pg,
Rolling Hills #1,8/8/17,8:25,42,pg,
Mutiny Sands,8/10/17,7:30,49,pg,
Ledgewood,7/25/17,7:20,38,pg,
Ledgewood,8/2/17,7:45,44,pg,
Ledgewood,8/9/17,7:45,42,pg,
Cliffside,8/1/17,8:25,22,pg,
Cliffside,8/8/17,8:35,15,pg,
Forbes Point,8/11/17,829,20,pg,
Double Bluff North,7/21/17,8:07,62,pg,
Double Bluff North,7/28/17,8:14,74,pg,
Harrington North,8/10/17,755,16,pg,
Double Bluff North,8/4/17,8:14,54,pg,
Double Bluff North,8/11/17,8:07,61,pg,
Double Bluff South,7/20/17,8:00,8,pg,
Double Bluff South,7/27/17,7:35,12,pg,
Double Bluff South,8/3/17,8:00,14,pg,
Double Bluff South,8/10/17,7:55,9,pg,
Fort Casey North,8/5/17,8:25,49,pg,
Fort Casey North,8/12/17,8:25,12,pg,
Lake Hancock North,8/7/17,7:15,58,pg,
Possession Point,8/6/17,7:50,7,pg,
Possession Point,8/12/17,7:50,12,pg,
Lagoon North #1,8/14/17,8:00,5,pg,
Harrington South,8/15/17,6:03,18,pg,
Pratts Bluff,8/8/17,7:20,29,pg,
Pratts Bluff,8/15/17,7:25,23,pg,
Rolling Hills #1,8/15/17,8:15,11,pg,
Hastie Lake South,8/15/17,7:25,4,pg,
Harrington North,8/14/17,725,15,pg,
Langley Marina,8/16/17,717,3,pg,
Malmo Bluff,8/15/17,7:15,36,pg,
Shore Meadows,8/16/17,7:20,32,pg,
Clinton Ferry Dock,8/13/17,7:55,14,pg,
Forbes Point,8/17/17,712,2,pg,
Mutiny Sands,8/17/17,7:30,13,pg,
Lagoon Point South,8/17/17,7:15,19,pg,
Swantown,8/17/17,715,5,pg,
Limpet Lane,8/11/17,720,23,pg,
Limpet Lane,8/18/17,735,8,pg,
Fort Casey North,8/19/17,8:25,2,pg,
Keystone,8/12/17,8:21,41,pg,
Lake Hancock North,8/19/17,8:00,22,pg,
Coupeville Wharf,8/12/17,7:01,8,pg,
Coupeville Wharf,8/20/17,6:55,8,pg,
Langley Marina,8/21/17,710,2,pg,
Cliffside -- INTERN,8/10/17,6:00,42,pg,on
Cliffside -- INTERN,8/14/17,6:00,38,pg,on
Cliffside -- INTERN,8/16/17,6:00,35,pg,on
Cliffside -- INTERN,8/18/17,6:00,29,pg,on
Rolling Hills #1 -- INTERN,8/11/17,6:00,46,pg,on
Rolling Hills #1 -- INTERN,8/15/17,6:00,42,pg,on
Rolling Hills #1 -- INTERN,8/17/17,6:00,32,pg,on
Rolling Hills #1 -- INTERN,8/21/17,6:00,28,pg,on
Keystone,8/20/17,8:21,13,pg,
Malmo Bluff,8/22/17,7:05,40,pg,
Lake Hancock North,8/22/17,7:30,66,pg,
Lagoon Point South,8/24/17,7:15,9,pg,
Swantown,8/22/17,815,9,pg,
Forbes Point,8/24/17,710,2,pg,
Mutiny Sands,8/24/17,7:30,25,pg,
Limpet Lane,8/25/17,733,8,pg,
Hastie Lake South,8/22/17,7:15,9,pg,
Pratts Bluff,8/24/17,8:00,10,pg,
Double Bluff South,8/17/17,8:00,8,pg,
Coupeville Wharf,8/27/17,7:06,2,pg,
Double Bluff North,8/18/17,8:00,33,pg,
Double Bluff North,8/25/17,8:10,26,pg,
Swantown,8/28/17,710,22,pg,
Clinton Ferry Dock,8/19/17,7:45,4,pg,
Cliffside,8/16/17,8:05,15,pg,
Cliffside,8/22/17,8:20,3,pg,
Cliffside,8/29/17,8:30,3,pg,
Ledgewood,8/22/17,7:45,16,pg,
Mutiny Sands,8/31/17,7:50,5,pg,
Cliffside -- INTERN,8/28/17,6:25,3,pg,on
Keystone,9/1/17,8:15,6,pg,
Limpet Lane,9/1/17,7:30,3,pg,
Possession Point,8/20/17,7:50,2,pg,
Bush Point Dock,7/20/17,8:15,3,pg,
Bush Point Dock,7/27/17,8:15,4,pg,
Bush Point Dock,8/3/17,8:15,3,pg,
Bush Point Dock,8/17/17,7:45,6,pg,
Bush Point Dock,8/24/17,7:45,3,pg,
Bush Point Dock,8/31/17,8:30,1,pg,
Double Bluff South,8/24/17,8:00,6,pg,
Double Bluff South,8/31/17,8:00,2,pg,
Double Bluff South,9/7/17,8:00,2,pg,
Double Bluff North,9/1/17,8:25,15,pg,
Rolling Hills #3,8/5/17,8:35,6,pg,
Rolling Hills #3,8/12/17,8:10,8,pg,
Harrington North,7/5/17,7:15,17,pg,
Mutiny Sands,9/7/17,7:45,1,pg,
Cliffside,6/13/17,8:46,15,pg,
Hastie Lake South,6/13/17,7:30,22,pg,
Rolling Hills #1,6/13/17,8:11,44,pg,
Harrington South,6/13/17,634,24,pg,
Langley Marina,6/13/17,750,2,pg,
Shore Meadows,6/14/17,7:25,44,pg,
Lagoon North #0,6/13/17,7:30,24,pg,
Forbes Point,6/14/17,800,15,pg,
Lagoon Point South,6/15/17,7:15,25,pg,
Mutiny Sands,6/15/17,7:45,42,pg,
Keystone,6/14/17,8:16,27,pg,
Cliffside -- INTERN,6/13/17,6:00,29,pg,on
Cliffside -- INTERN,6/15/17,6:00,26,pg,on
Rolling Hills #1 -- INTERN,6/12/17,6:00,44,pg,on
Rolling Hills #1 -- INTERN,6/14/17,6:00,33,pg,on
Swantown,6/12/17,815,26,pg,
Malmo Bluff,6/13/17,7:00,41,pg,
Limpet Lane,6/16/17,825,35,pg,
Lake Hancock North,6/17/17,7:20,60,pg,
Clinton Ferry Dock,6/17/17,7:25,12,pg,
Possession Point,6/12/17,,8,pg,
Coupeville Wharf,6/18/17,7:57,6,pg,
Langley Marina,6/19/17,704,7,pg,
Harrington South,6/19/17,6:34,20,pg,
Fort Casey North,6/17/17,8:30,56,pg,
Rolling Hills #1,6/20/17,8:11,50,pg,
Malmo Bluff,6/20/17,7:45,19,pg,
Cliffside -- INTERN,6/19/17,6:00,21,pg,on
Shore Meadows,6/21/17,7:30,69,pg,
Pratts Bluff,6/13/17,8:25,25,pg,
Pratts Bluff,6/20/17,7:55,15,pg,
Lake Hancock North,6/22/17,7:20,73,pg,
Cliffside -- INTERN,6/21/17,6:00,13,pg,on
Rolling Hills #1 -- INTERN,6/16/17,6:00,39,pg,on
Rolling Hills #1 -- INTERN,6/20/17,6:00,50,pg,on
Bush Point Dock,6/22/17,8:15,10,pg,
Bush Point Dock,6/15/17,8:30,6,pg,
Ledgewood,6/17/17,8:00,40,pg,
Ledgewood,6/10/17,7:45,46,pg,
Rolling Hills #1 -- INTERN,6/22/17,6:00,39,pg,on
Cliffside -- INTERN,6/23/17,6:00,32,pg,on
Keystone,6/21/17,8:15,26,pg,
Fort Casey North,6/24/17,8:30,45,pg,
Possession Point,6/18/17,7:53,7,pg,
Hastie Lake South,6/22/17,7:40,31,pg,
Coupeville Wharf,6/25/17,7:34,3,pg,
Swantown,6/22/17,810,16,pg,
Clinton Ferry Dock,6/25/17,8:00,11,pg,
Lagoon Point South,6/22/17,7:15,32,pg,
Langley Marina,6/27/17,707,7,pg,
Harrington South,6/27/17,553,21,pg,
Rolling Hills #1,6/27/17,8:18,40,pg,
Hastie Lake South,6/27/17,7:30,39,pg,
Malmo Bluff,6/27/17,7:45,29,pg,
Swantown,6/26/17,810,19,pg,
Lagoon North #1,6/16/17,8:00,116,pg,
Lagoon North #1,6/22/17,7:50,92,pg,
Lagoon Point South,6/29/17,7:15,25,pg,
Maylor Point,6/23/17,7:23,10,pg,
Cliffside,6/27/17,8:15,37,pg,
Cliffside,6/13/17,8:46,14,pg,
Forbes Point,6/23/17,7:44,1,pg,
Limpet Lane,6/23/17,755,24,pg,
Shore Meadows,6/28/17,7:45,50,pg,
Limpet Lane,6/30/17,750,27,pg,
Forbes Point,6/30/17,730,16,pg,
Pratts Bluff,6/30/17,7:45,25,pg,
Mutiny Sands,6/22/17,7:30,26,pg,
Mutiny Sands,6/29/17,7:30,44,pg,
Harrington North,6/22/17,835,9,pg,
Harrington North,6/29/17,800,23,pg,
Keystone,7/1/17,8:40,42,pg,
Clinton Ferry Dock,7/1/17,8:00,8,pg,
Coupeville Wharf,7/2/17,7:08,5,pg,
Fort Casey North,7/1/17,8:20,43,pg,
Lake Hancock North,7/1/17,7:15,83,pg,
Harrington South,7/3/17,5:51,15,pg,
Hastie Lake South,7/4/17,7:13,39,pg,
Langley Marina,7/4/17,732,5,pg,
Rolling Hills #3,6/17/17,8:05,15,pg,
Rolling Hills #3,6/23/17,8:15,8,pg,
Rolling Hills #3,6/30/17,8:05,12,pg,
Rolling Hills #1,7/4/17,8:10,38,pg,
Pratts Bluff,7/4/17,7:40,25,pg,
Malmo Bluff,7/4/17,7:35,21,pg,
Cliffside -- INTERN,6/27/17,6:00,42,pg,on
Cliffside -- INTERN,6/29/17,6:00,35,pg,on
Cliffside -- INTERN,7/3/17,6:00,11,pg,on
Possession Point,6/25/17,7:47,10,pg,
Possession Point,7/2/17,7:34,13,pg,
Cliffside -- INTERN,7/5/17,6:00,28,pg,on
Rolling Hills #1 -- INTERN,6/26/17,6:00,38,pg,on
Rolling Hills #1 -- INTERN,6/28/17,6:00,48,pg,on
Rolling Hills #1 -- INTERN,6/30/17,6:00,44,pg,on
Rolling Hills #1 -- INTERN,7/4/17,6:00,38,pg,on
Lake Hancock North,7/6/17,7:15,67,pg,
Lagoon Point South,7/6/17,7:15,30,pg,
Mutiny Sands,7/6/17,7:30,31,pg,
Double Bluff South,6/15/17,8:00,4,pg,
Double Bluff South,6/22/17,8:10,10,pg,
Double Bluff South,6/29/17,7:55,6,pg,
Double Bluff South,7/6/17,8:21,14,pg,
Double Bluff North,6/23/17,8:10,24,pg,
Limpet Lane,7/7/17,740,21,pg,
Lagoon North #0,7/6/17,7:25,19,pg,
Swantown,7/6/17,810,14,pg,
Harrington North,6/14/17,850,16,pg,
Forbes Point,7/8/17,737,9,pg,
Fort Casey North,7/8/17,8:20,75,pg,
Ledgewood,6/23/17,8:00,38,pg,
Ledgewood,7/3/17,7:05,20,pg,
Shore Meadows,7/5/17,7:45,54,pg,
Harrington South,7/11/17,553,19,pg,
Hastie Lake South,7/11/17,7:18,24,pg,
Bush Point Dock,6/29/17,8:15,3,pg,
Bush Point Dock,7/6/17,8:15,3,pg,
Rolling Hills #1,7/11/17,8:05,41,pg,
Malmo Bluff,7/11/17,7:45,31,pg,
Lagoon North #1,6/29/17,8:00,74,pg,
Lagoon North #1,7/9/17,8:00,74,pg,
Lagoon North #1,7/11/17,8,77,pg,
Swantown,7/10/17,820,30,pg,
Lake Hancock North,7/11/17,8:20,78,pg,
Shore Meadows,7/12/17,7:45,54,pg,
Lagoon Point South,7/13/17,7:15,37,pg,
Mutiny Sands,7/13/17,7:35,50,pg,
Bush Point Dock,7/13/17,8:10,7,pg,
Rolling Hills #3,7/7/17,7:35,14,pg,
Cliffside,7/4/17,7:45,22,pg,
Cliffside,7/11/17,8:30,20,pg,
Keystone,7/9/17,8:30,15,pg,
Keystone,7/16/17,8:23,28,pg,
Clinton Ferry Dock,7/15/17,7:50,8,pg,
Double Bluff North,7/14/17,8:00,63,pg,
Double Bluff North,6/16/17,8:20,66,pg,
Rolling Hills #1,7/18/17,8:04,32,pg,
Pratts Bluff,7/14/17,7:45,30,pg,
Pratts Bluff,7/18/17,7:10,30,pg,
Forbes Point,7/14/17,725,12,pg,
Double Bluff North,6/30/17,8:00,38,pg,
Double Bluff North,7/7/17,8:08,30,pg,
Double Bluff South,7/12/17,8:15,10,pg,
Langley Marina,7/18/17,710,5,pg,
Harrington South,7/19/17,5:48,22,pg,
Hastie Lake South,7/18/17,7:30,17,pg,
Shore Meadows,7/19/17,7:25,40,pg,
Forbes Point,7/20/17,731,1,pg,
Rolling Hills #3,7/15/17,8:25,15,pg,
Coupeville Wharf,7/9/17,7:00,4,pg,
Coupeville Wharf,7/16/17,7:00,5,pg,
Lagoon Point South,7/20/17,7:15,27,pg,
Mutiny Sands,7/20/17,7:35,15,pg,
Lagoon North #0,7/11/17,7:25,24,pg,
Lagoon North #0,7/20/17,7:20,27,pg,
Lagoon North #1,7/21/17,8:10,54,pg,
Fort Casey North,7/15/17,8:25,38,pg,
Swantown,7/21/17,815,24,pg,
Ledgewood,7/11/17,7:55,39,pg,
Ledgewood,7/17/17,7:25,32,pg,
Harrington North,7/19/17,750,17,pg,
Lake Hancock North,7/21/17,7:00,66,pg,
Keystone,7/22/17,8:14,28,pg,
Possession Point,7/9/17,7:55,12,pg,
Possession Point,7/17/17,753,17,pg,
Possession Point,7/23/17,7:52,12,pg,
Fort Casey North,7/22/17,8:25,52,pg,
Malmo Bluff,7/18/17,7:40,28,pg,
Coupeville Wharf,7/23/17,7:24,5,pg,
Lake Hancock North,7/24/17,7:15,62,pg,
Cliffside -- INTERN,7/7/17,6:00,12,pg,on
Cliffside -- INTERN,7/11/17,6:00,27,pg,on
Cliffside -- INTERN,7/13/17,6:00,31,pg,on
Cliffside -- INTERN,7/17/17,6:00,33,pg,on
Cliffside -- INTERN,7/19/17,6:00,18,pg,on
Cliffside -- INTERN,7/21/17,6:00,28,pg,on
Rolling Hills #1 -- INTERN,7/6/17,6:00,41,pg,on
Rolling Hills #1 -- INTERN,7/10/17,6:00,36,pg,on
Rolling Hills #1 -- INTERN,7/12/17,6:00,40,pg,on
Rolling Hills #1 -- INTERN,7/14/17,6:00,51,pg,on
Rolling Hills #1 -- INTERN,7/16/17,6:00,48,pg,on
Rolling Hills #1 -- INTERN,7/18/17,6:00,48,pg,on
Rolling Hills #1 -- INTERN,7/20/17,6:00,50,pg,on
Rolling Hills #1 -- INTERN,7/24/17,6:00,48,pg,on
Langley Marina,7/25/17,727,10,pg,
Malmo Bluff,7/25/17,7:50,38,pg,
Lagoon North #1,7/25/17,8:05,56,pg,
Rolling Hills #1,7/25/17,8:06,47,pg,
Harrington South,7/25/17,704,13,pg,
Lake Hancock North,8/19/17,8:00,22,pg,
Lake Hancock North,8/22/17,730,66,pg,
Rolling Hills #2,6/6/16,8:00,30,pg,
Swantown,6/7/16,8:25,7,pg,
Limpet Lane,6/8/16,735,33,pg,
Harrington South,6/7/16,720,25,pg,
Malmo Bluff,6/9/16,8:00,39,pg,
Lagoon North #1,6/6/16,8:00,68,pg,
Shore Meadows,6/10/16,700,72,pg,
Langley Marina,6/8/16,800,2,pg,
Lagoon North #0,6/6/16,7:45,29,pg,
Double Bluff North,6/10/16,8:25,39,pg,
Libby North/Sierra,6/11/16,8:45,9,pg,
Harrington South,6/12/16,820,9,pg,
Lagoon Point South,6/9/16,7:45,45,pg,
Lake Hancock North,6/7/16,8:20,53,pg,
Fort Casey North,6/10/16,8:30,50,pg,
Pratts Bluff,6/10/16,8:00,21,pg,
Mutiny Sands- INTERN,6/7/16,6:00,53,pg,on
Mutiny Sands- INTERN,6/9/16,6:00,49,pg,on
Pratts Bluff- INTERN,6/6/16,6:00,24,pg,on
Pratts Bluff- INTERN,6/8/16,6:00,35,pg,on
Pratts Bluff- INTERN,6/10/16,6:00,28,pg,on
Mutiny Sands- INTERN,6/13/16,6:00,37,pg,on
Keystone,6/13/16,808,62,pg,
Keystone,6/6/16,830,22,pg,
Possession Point,6/5/16,7:37,14,pg,
Rolling Hills #1,6/7/16,8:06,33,pg,
Rolling Hills #1,6/14/16,8:10,16,pg,
Libby North/Sierra,6/14/16,8:45,2,pg,
Hastie Lake South,6/7/16,7:30,12,pg,
Hastie Lake South,6/14/16,8:00,20,pg,
Limpet Lane,6/15/16,730,26,pg,
Langley Marina,6/15/16,645,5,pg,
Lake Hancock North,6/16/16,7:20,62,pg,
Ledgewood,6/9/16,7:55,39,pg,
Ledgewood,6/16/16,7:50,40,pg,
Monroe Landing,6/6/16,750,6,pg,
Lagoon Point South,6/16/16,7:45,32,pg,
Monroe Landing,6/13/16,710,7,pg,
Cliffside,6/13/16,755,26,pg,
Mutiny Sands,6/9/16,7:45,48,pg,
Mutiny Sands,6/16/16,7:40,15,pg,
Pratts Bluff,6/17/16,7:50,13,pg,
Shore Meadows,6/17/16,6:55,70,pg,
Swantown,6/16/16,8:15,20,pg,
Malmo Bluff,6/16/16,7:50,31,pg,
Harrington North,6/17/16,7:15,7,pg,
Keystone,6/20/16,8:30,54,pg,
Mutiny Sands- INTERN,6/15/16,6:00,29,pg,on
Mutiny Sands- INTERN,6/17/16,6:00,38,pg,on
Pratts Bluff- INTERN,6/14/16,6:00,17,pg,on
Pratts Bluff- INTERN,6/16/16,6:00,27,pg,on
Cliffside,6/20/16,7:20,22,pg,
Lake Hancock North,6/21/16,8:15,43,pg,
Fort Casey North,6/17/16,8:30,32,pg,
Lagoon North #0,6/14/16,7:40,24,pg,
Lagoon North #0,6/21/16,7:20,40,pg,
Swantown,6/21/16,8:30,20,pg,
Rolling Hills #1,6/21/16,8:07,32,pg,
Double Bluff South,6/23/16,8:00,3,pg,
Mutiny Sands,6/23/16,7:40,27,pg,
Lagoon Point South,6/23/16,7:15,32,pg,
Malmo Bluff,6/23/16,7:45,23,pg,
Mutiny Sands- INTERN,6/21/16,6:00,39,pg,on
Mutiny Sands- INTERN,6/23/16,6:00,32,pg,on
Pratts Bluff- INTERN,6/20/16,6:00,33,pg,on
Pratts Bluff- INTERN,6/22/16,6:00,28,pg,on
Limpet Lane,6/22/16,735,35,pg,
Lagoon North #1,6/23/16,7:50,73,pg,
Shore Meadows,6/24/16,700,65,pg,
Libby North/Sierra,6/24/16,6:35,9,pg,
Forbes Point,6/11/16,7:25,19,pg,
Forbes Point,6/18/16,7:24,13,pg,
Forbes Point,6/23/16,7:15,16,pg,
Monroe Landing,6/20/16,650,6,pg,
Clinton Ferry Dock,6/16/16,8:30,15,pg,
Clinton Ferry Dock,6/17/16,8:15,6,pg,
Clinton Ferry Dock,6/24/16,8:00,7,pg,
Rolling Hills #3,6/8/16,7:55,6,pg,
Rolling Hills #3,6/15/16,7:35,6,pg,
Possession Point,6/12/16,7:43,15,pg,
Possession Point,6/20/16,7:37,10,pg,
Harrington North,6/25/16,800,13,pg,
Harrington North,6/10/16,845,14,pg,
Possession Point,6/26/16,7:37,13,pg,
Bush Point Dock,6/6/16,7:40,2,pg,
Bush Point Dock,6/14/16,7:30,3,pg,
Hastie Lake South,6/28/16,7:30,31,pg,
Cliffside,6/27/16,725,27,pg,
Double Bluff North,6/17/16,8:10,9,pg,
Double Bluff North,6/24/16,8:13,39,pg,
Cliffside,6/7/16,7:55,22,pg,
Double Bluff South,6/8/16,7:20,7,pg,
Pratts Bluff,6/24/16,8:00,24,pg,
Bush Point Dock,6/20/16,8:30,6,pg,
Bush Point Dock,6/27/16,7:35,2,pg,
Lagoon North #0,6/28/16,7:50,51,pg,
Hastie Lake South,6/21/16,7:35,16,pg,
Limpet Lane,6/29/16,732,34,pg,
Maylor Point,6/7/16,8:00,10,pg,
Maylor Point,6/12/16,7:45,10,pg,
Maylor Point,6/19/16,7:25,4,pg,
Maylor Point,6/27/16,7:50,12,pg,
Langley Marina,6/29/16,6:35,1,pg,
Monroe Landing,6/27/16,745,6,pg,
Lake Hancock North,6/28/16,6:50,51,pg,
Lagoon Point South,6/30/16,7:22,33,pg,
Rolling Hills #1,6/28/16,8:09,38,pg,
Mutiny Sands,6/30/16,7:35,24,pg,
Mutiny Sands- INTERN,6/27/16,6:00,36,pg,on
Forbes Point,6/1/16,7:17,12,pg,
Harrington South,6/28/16,815,18,pg,
Coupeville Wharf,6/16/16,7:15,5,pg,
Coupeville Wharf,6/23/16,7:30,6,pg,
Shore Meadows,7/1/16,700,101,pg,
Malmo Bluff,6/30/16,7:45,30,pg,
Libby North/Sierra,7/1/16,6:40,9,pg,
Lagoon North #1,7/1/16,7:00,81,pg,
Harrington North,7/1/16,750,13,pg,
Keystone,7/4/16,8:30,26,pg,
Double Bluff North,7/1/16,8:15,38,pg,
Swantown,7/1/16,8:15,17,pg,
Hastie Lake South,7/5/16,725,12,pg,
Mutiny Sands- INTERN,6/29/16,6:00,33,pg,on
Mutiny Sands- INTERN,7/1/16,6:00,36,pg,on
Pratts Bluff- INTERN,6/24/16,6:00,30,pg,on
Pratts Bluff- INTERN,6/28/16,6:00,31,pg,on
Monroe Landing,7/4/16,640,6,pg,
Cliffside,7/4/16,800,11,pg,
Harrington South,7/5/16,820,16,pg,
Harrington South,6/17/16,820,9,pg,
Swantown,7/6/16,8:30,20,pg,
Fort Casey North,6/25/16,8:30,42,pg,
Fort Casey North,7/2/16,8:30,29,pg,
Limpet Lane,7/6/16,730,34,pg,
Rolling Hills #1,7/5/16,8:09,40,pg,
Clinton Ferry Dock,7/1/16,7:45,3,pg,
Malmo Bluff,7/7/16,7:50,35,pg,
Lagoon North #1,7/7/16,8:05,67,pg,
Lagoon Point South,7/7/16,7:40,31,pg,
Mutiny Sands,7/7/16,7:40,48,pg,
Ledgewood,6/22/16,8:00,37,pg,
Ledgewood,6/30/16,7:45,41,pg,
Forbes Point,7/7/16,7:17,17,pg,
Forbes Point,6/29/16,7:17,12,pg,
Shore Meadows,7/8/16,700,36,pg,
Double Bluff North,7/8/16,8:15,45,pg,
Pratts Bluff- INTERN,6/30/16,6:00,26,pg,on
Pratts Bluff- INTERN,7/4/16,6:00,27,pg,on
Pratts Bluff- INTERN,7/6/16,6:00,31,pg,on
Mutiny Sands- INTERN,7/5/16,6:00,39,pg,on
